datei,kontext,zeile,alte_referenz,neue_referenz,aktion
data/Aufsatzablage/SZDESS.xml,SZDESS.173,15661,"author/@ref=""#SZDPER.173""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.174,15767,"author/@ref=""#SZDPER.174""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.175,15845,"author/@ref=""#SZDPER.175"", persName/@ref=""Zweig, Stefan""","author/@ref=""#SZDPER.1560"", persName/@ref=""http://d-nb.info/gnd/118637479""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.176,15939,"author/@ref=""#SZDPER.176"", persName/@ref=""Zweig, Stefan""","author/@ref=""#SZDPER.1560"", persName/@ref=""http://d-nb.info/gnd/118637479""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.177,16036,"author/@ref=""#SZDPER.177""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.179,16207,"author/@ref=""#SZDPER.179""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.181,16373,"author/@ref=""#SZDPER.181""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.182,16453,"author/@ref=""#SZDPER.182""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.183,16548,"author/@ref=""#SZDPER.183""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.185,16726,"author/@ref=""#SZDPER.185""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.186,16821,"author/@ref=""#SZDPER.186""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.187,16917,"author/@ref=""#SZDPER.187""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.188,17017,"author/@ref=""#SZDPER.188""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.189,17117,"author/@ref=""#SZDPER.189""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.191,17277,"author/@ref=""#SZDPER.191""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.193,17459,"author/@ref=""#SZDPER.193""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.194,17543,"author/@ref=""#SZDPER.194""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.195,17625,"author/@ref=""#SZDPER.195""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.196,17725,"author/@ref=""#SZDPER.196""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.197,17804,"author/@ref=""#SZDPER.197""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.198,17887,"author/@ref=""#SZDPER.198""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.199,17981,"author/@ref=""#SZDPER.199""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.201,18144,"author/@ref=""#SZDPER.201""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.203,18324,"author/@ref=""#SZDPER.203""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.205,18509,"author/@ref=""#SZDPER.205""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.207,18682,"author/@ref=""#SZDPER.207""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.208,18783,"author/@ref=""#SZDPER.208""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.210,18966,"author/@ref=""#SZDPER.210""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.211,19060,"author/@ref=""#SZDPER.211""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.212,19137,"author/@ref=""#SZDPER.212""","author/@ref=""#SZDPER.1555""",Autorenverweis korrigiert
