date,szdper,name,status
2026-09-24,SZDPER.906,"Maria Theresia, Erzherzogin von Österreich",removed
2026-09-24,SZDPER.917,"Matkowsky, Adalbert",removed
2026-09-24,SZDPER.918,"Matteotti, Giacomo",removed
2026-09-24,SZDPER.929,"Meisenbach, Georg",removed
2026-09-24,SZDPER.975,"Moissan, Henri",removed
2026-09-24,SZDPER.978,"Molotov, Vjačeslav Michajlovič",removed
2026-09-24,SZDPER.983,"Monod, Olga",removed
2026-09-24,SZDPER.1001,"Mühsam, Erich",removed
2026-09-24,SZDPER.1006,"Munch, Edvard",removed
2026-09-24,SZDPER.1007,"Munkácsy, Mihály",removed
2026-09-24,SZDPER.1014,"Musulin, Alexander von",removed
2026-09-24,SZDPER.1020,"Neisser, Albert",removed
2026-09-24,SZDPER.1029,"Nightingale, Florence",removed
2026-09-24,SZDPER.1031,"Nižinskij, Vaclav F.",removed
2026-09-24,SZDPER.1032,"Nikolaus II., Zar von Russland",removed
2026-09-24,SZDPER.1038,"Nordau, Max",removed
2026-09-24,SZDPER.1039,"Nostitz-Rieneck, Sophie",removed
2026-09-24,SZDPER.1041,"Nowak, Karl Friedrich",removed
2026-09-24,SZDPER.1048,"Oldofredi, Hieronymus",removed
2026-09-24,SZDPER.1058,"Pacher, Michael",removed
2026-09-24,SZDPER.1070,"Pasteur, Louis",removed
2026-09-24,SZDPER.1084,"Pershing, John J.",removed
2026-09-24,SZDPER.1107,"Pius X., Papst",removed
2026-09-24,SZDPER.1108,"Planck, Max",removed
2026-09-24,SZDPER.1113,"Poincaré, Raymond",removed
2026-09-24,SZDPER.1121,"Prévost D'Exiles, Antoine François",removed
2026-09-24,SZDPER.1123,"Pribram, Alfred Francis",removed
2026-09-24,SZDPER.1130,"Pullman, George Mortimer",removed
2026-09-24,SZDPER.1142,"Ravel, Maurice",removed
2026-09-24,SZDPER.1145,"Redl, Alfred",removed
2026-09-24,SZDPER.1147,"Regler, Max",removed
2026-09-24,SZDPER.1156,"Renner, Karl",removed
2026-09-24,SZDPER.1157,"Renoir, Auguste",removed
2026-09-24,SZDPER.1159,"Reucker, Alfred",removed
